id,comment,comment_ko
498,"Tender, delicate, and feminine scent",
499,Clean and powdery drydown,
500,Balanced and well-blended powdery scent,
501,Unique and complex scent,
502,Lasts over 8 hours with moderate projection,
503,"Embodies purity, tenderness, and warmth",
504,Phenomenal combination of rose and violet,
505,Britney Spears,
506,Affordable price point,
507,Suitable for casual dates and everyday wear,
508,Popular fragrance that is recognizable,
509,"Sweet, sensual, warm, gourmandy and floriental scent",
510,Adorable packaging design,
511,Long-lasting scent,
512,Suitable for all ages,
513,Giorgio Armani,
514,Orangey goodness with warm vanilla and honey,
515,Easygoing yet mysterious,
516,Great for expressing femininity,
517,Fun yet sexy fragrance,
518,Perfect signature scent,
519,Confident and authoritative evening scent,
520,"Deep, dark, sensual perfume",
521,Combines lavender and vanilla beautifully,
522,All the notes blend perfectly,
523,Makes person feel calm and happy,
524,"Warm, fluffy, powdery and slightly sweet scent",
525,Creates an aura of sweet creamy vanillalavender,
526,Sheer sophistication,
527,Lovely vanilla fragrance,
528,Has a burnt vanilla aroma,
529,"Superb for cold and warm weather, day or night, work or play",
530,Great fragrance for those not fully into fragrances and want something versatile,
531,"Popular fragrance, widely available",
532,Chanel is a worldwide phenomenon with quality and distribution control,
533,Bigger compliment-getter than the original,
534,"Mystique factor, Chanel couture experience, mantle of discovery and alluring",
535,Long-lasting scent (10 hours),
536,"Reminiscent and nostalgic, reminds of a loved one",
537,Jean Paul Gaultier,
538,Dark and sweet without being feminine,
539,Sophisticated and refined scent,
540,Long-lasting performance,
541,Crowd-pleaser,
542,Spicey and soft cardamom notes,
543,Equally appreciated by women and men,
544,Office-safe fragrance,
545,Affordable price point,
546,Sweet and girly scent,
547,Unique gourmand experience,
548,Good longevity and sillage,
549,Can lift mood on a bad day,
550,Unusual and stands out in a crowd,
551,Perfect for everyday wear,
552,Fresh and fun,
553,Uplifting and happy,
554,Fresh and clean,
555,Romantic and pinkish,
556,Suitable for feminine occasions,
557,Long-lasting,
558,Suitable for close quarters,
559,Compliment magnet,
560,Expensive and luxurious scent,
561,Iconic and timeless scent,
562,Sophisticated and formal,
563,Charming and seductive without being vulgar,
564,Comforting and ethereal,
565,"Soft, powdery and clean fragrance",
566,High quality and long lasting,
567,Intimate and elegant,
568,"Transforms on the skin, revealing new undertones",
569,Great summer fragrance,
570,Energizing and uplifting scent,
571,Affordable price,
572,Sparkling citrus opening,
573,Perfect for outdoor activities,
574,"Versatile for work, school, party, and date",
575,Good compliment getter,
576,Girls really dig this scent,
577,Attractive and seductive,
578,Moderate to strong sillage,
579,Good for all seasons,
580,Fresh and sweet scent,
581,Underappreciated beauty,
582,Not overpowering,
583,Elicits nostalgic memories of teenage years,
584,Soft vanilla,
585,Suitable for mature young women,
586,Fresh and sweet scent for day or night,
587,Beautifully blended notes,
588,Fits ambitious and driven career women,
589,Great sillage for an average priced perfume,
590,Combines musky and fruity scents,
591,Clean and sparkly scent,
592,Pleasant opening with lemon and neroli,
593,Elizabeth Arden,
594,Welcomingly refreshing on a humid summer day,
595,Soft and subtle perfume,
596,Perfect for sensitive situations,
597,Exquisite citrus and fresh scent,
598,Good as a room freshener,
599,Almost aquatic drydown,
600,Delightful clean musk with rhubarb notes,
601,Ariana Grande,
602,"Creamy, soft, warm, and inviting scent",
603,More affordable than BR540,
604,Enjoyable and crowdpleasing,
605,Long-lasting projection,
606,More gourmand and sugary version of BR540,
607,Sweeter and more rounded than BR540,
608,Linear scent,
609,Uplifting and refreshing fragrance,
610,Unisex fragrance with an exotic feel,
611,Wonderful grapefruit note on opening,
612,Great for those who like grapefruit notes,
613,Evoke the feel of a botanical garden in 19th century England,
614,Inspired by the smell of Nile river in Egypt,
615,Makes one feel like living in California during summer,
616,Liked by one person despite negative feedback from spouse,
617,Jean Paul Gaultier,
618,Good longevity and projection,
619,Beautiful playful and highly pleasing scent,
620,Smooth addicting blend,
621,Comprising of vanilla and pear as its stand out notes,
622,Well blended fragrance,
623,Gets compliments galore,
624,Suitable for casual occasions,
625,Lasting power is unbelievable,
626,An experience for sure,
627,Wonderfully warm and cozy,
628,Gives a feeling of incredible comfort and joy,
629,Unisex perfume,
630,People who don't even wear orientals fall in love with this fragrance,
631,Warmest honeyed patchouli,
632,Smells just like chai latte,
633,Dolce&Gabbana,
634,"Smells sweet, yet masculine",
635,Delightful fragrance on a man,
636,Pleasing and clean scent,
637,Appropriate for most occasions,
638,Familiar ingredients that smell like a man,
639,Generous longevity depending on body chemistry,
640,Long-lasting on some people,
641,Refreshing and citrusy opening,
642,Well-balanced scent,
643,Great fragrance for a blind buy,
644,"Blend of citrus, musk, vanilla, and earthy notes",
645,Attracts compliments from women,
646,Intoxicating and masculine,
647,Suitable for any occasion or season,
648,Surprisingly rich and intoxicating dry down,
649,"Full-bodied, rich, and golden floral scent",
650,Iconic fragrance symbolizing feminine class,
651,Reminiscent of unforgettable women with unconventional beauty and charm,
652,Devastatingly lovely luxury scent,
653,Unmistakable scent and elegant minimalist bottle exudes self-confidence,
654,"Spicy, ambery, and vanilla notes create a delicious scent",
655,Magical elixir that can seduce both genders,
656,Favorite fragrance for work everyday,
657,Fresh and clean scent,
658,Perfect for summer,
659,High quality despite low price point,
660,Good for everyday wear,
661,Well-balanced and well-made,
662,Compliment-worthy,
663,Strong and long-lasting,
664,Great for both men and women,
665,Attractive savoury scent with sweet vanilla and salty notes,
666,Feminine and confident scent,
667,Intoxicating vanilla floral mix,
668,Unusual and intriguing perfume,
669,Great longevity and sillage,
670,Warm and comforting oriental scent,
671,Delicious aroma,
672,"Soft, sweet, and uplifting fragrance",
673,Collector's item,
674,Silent dignity,
675,Great for cooler weather,
676,Not boring with one LOUD note,
677,Seamless notes,
678,Compliment grabber,
679,Unisex scent,
680,Evolution throughout the day,
681,Buy this fragrance atLuckyScent,
682,This fragrance has a warm and cozy scent that's perfect for the holiday season.,
683,Angels Share's boozy cognac and vanilla notes create a unique and luxurious scent.,
684,Angels Share is a great choice for nighttime wear or special occasions.,
685,Angels Share has a gourmand scent that smells like warm apple pie straight from the oven.,
686,"The fragrance has a long-lasting scent, so it can be worn for hours without needing to reapply.",
687,"The fragrance has a spicy, nutty aroma that's both alluring and addictive.",
688,This fragrance works well for both masculine and feminine gender stereotypes.,
689,Has sentimental value and can evoke fond memories,
690,"Considered a real perfume, not just a body spray or sweet fragrance",
691,Lasts for a long time,
692,Classic and timeless fragrance,
693,Embody pure femininity,
694,Received many compliments from others,
695,Layer well with other fragrances,
696,Suitable as a safe blind buy or gift option,
697,Well-blended and contains unique notes,
698,Memorable and timeless art,
699,Compliments the wearer's sophistication and personality,
700,Dark and mysterious fragrance perfect for evening wear,
701,Great for those who prefer strong and sexy fragrances,
702,Powerful love potion-like scent,
703,"Contains saffron, a unique and loved note by some",
704,Extremely modern and well-balanced scent,
705,Buy this fragrance atLuckyScent,
706,Beautiful everyday scent,
707,"Perfect blend of fruitiness, sweetness, and florals",
708,Works well in any season,
709,Smells like calm happiness,
710,Pleasant and fresh opening,
711,Evokes feelings of happiness and safety,
712,Summery scent with autumn/winter attributes,
713,"Light, fresh, and citrusy",
714,Perfect scent to cool you off in the most hottest and stifling summer days,
715,Not too sweet,
716,Fantastic mood booster,
717,Great for waking up,
718,Could be a killer gym fragrance,
719,Lasts a great deal,
720,Similar to DG Light Blue,
721,Can be worn comfortably in any occasion,
722,Posh sophistication embodied by Chanel,
723,Citrus and pineapple notes blend well with patchouli,
724,Confidence boosting and bold,
725,"Fresh, sweet, and floral scent",
726,Sweetly earthy with a patchouli base,
727,Positive associations with personal memories,
728,Suitable for all genders,
729,Calming effect,
730,Soft and creamy luxurious smell,
731,Good value for the price,
732,Hauntingly smooth and slightly sensual scent,
733,"Pure, no frill beauty",
734,Enchanting descriptions and captivating bottle,
735,Beautiful on some people,
736,Warm coffee heartnote adds depth and character,
737,Unique and classic scent,
738,Long-lasting,
739,Potent and strong,
740,Elegant and sophisticated,
741,Brings back nostalgic memories,
742,Complimented by others,
743,Good for layering with other perfumes,
744,Suitable for both men and women,
745,Marc Jacobs,
746,Suitable for all ages,
747,Calming and mood-lifting for some people,
748,Beautiful and versatile scent,
749,Great for green fragrance lovers,
750,Makes a meaningful gift,
751,Part of a beloved fragrance line,
752,Loved by a picky fragrance wearer,
753,Narciso Rodriguez,
754,Appropriate for all occasions,
755,"Soft, sweet, powdery floral fragrance",
756,Beautifully crafted scent,
757,Grounded in musk and rose,
758,Versatile for any time,
759,"Modern, retro, and sophisticated rose and ink scent",
760,Creamy musk adds an animalic character,
761,Maison Martin Margiela,
762,Buy this fragrance atLuckyScent,
763,Great for cold weather,
764,Sexy and sensual,
765,Smooth and boozy scent,
766,"Vanilla, tobacco, and rum notes",
767,Compliment-getter,
768,Long-lasting sillage,
769,Viktor&Rolf,
770,Perfect for autumn and winter,
771,Pleasing sweet and spicy note,
772,Warm and cozy scent,
773,Unique and explosive aroma,
774,Good longevity and sillage,
775,Composed of high-quality notes,
776,Great for mature men,
777,Parfums de Marly,
778,Well-crafted fragrance,
779,Appeals to most people,
780,Long-lasting scent,
781,Masculine sweet fragrance with a fresh bite,
782,Balance between designer and niche style,
783,Fruity-vanilla symphony,
784,Projects heavily,
785,Jean Paul Gaultier,
786,"Sexy, womanly scent",
787,Lovely fragrance that can become a classic,
788,"Classy, sweet, tender, and strong",
789,Longevity and good dry down,
790,Perfect for seduction and romance,
791,Great compliment-getter,
792,Reminds of Marilyn Monroe's beauty,
793,Buy this fragrance atLuckyScent,
794,Realistic cherry note,
795,Good for cold weather,
796,Great for night time,
797,Unique and unusual scent,
798,Good quality ingredients,
799,Masculine and feminine appeal,
800,Compliment-getter,
801,Dolce&Gabbana,
802,Delightful fragrance,
803,Great date night scent,
804,Women love it,
805,Original scent,
806,Good compliments,
807,Refined version of EDT,
808,Short and sweet,
809,Juicy Couture,
810,Sweet and feminine scent,
811,Creates a vibrant and youthful vibe,
812,Reasonably priced,
813,Easily accessible at many retailers,
814,Received compliments from others,
815,Good for fall and winter seasons,
816,Long-lasting fragrance,
817,Natural and authentic leather note,
818,High-quality and masterfully put together,
819,Sophisticated and sexy fragrance,
820,Strong and realistic opening leather note,
821,Softens over time with lingering faint sweetness,
822,"Excellent blend of cardamom, jasmine, leather, and patchouli",
823,A welcome addition to the brand,
824,Appeals to both men and women,
825,Long-lasting longevity,
826,Good projection,
827,Potent scent,
828,Manly and dark scent,
829,Good for cooler months,
830,Unique and high quality fragrance,
831,Artistic fragrance,
832,Gets compliments from women,
833,Longevity and sillage are impressive,
834,Rich and dark gourmand fragrance with smoky incense undertones,
835,Great cooler weather fragrance,
836,Hypnotizing scent,
837,Perfectly balanced gourmand fragrance,
838,Stylish and charming,
839,Distinctly identifiable sweet notes,
840,Relaxing and cozy vibe,
841,Safe and comfortable scent,
842,Strong iris note in masculine fragrance,
843,Good for those who like flowery scents,
844,Bottle design is pretty,
845,Scent is incredible,
846,Longevity is great,
847,Compliment factor is high,
848,Projection is great,
849,"Mysterious, sensual, intriguing, enigmatic, spiritual",
850,Strong sandalwood that is well made,
851,Easily recognizable and memorable scent,
852,Great for evening wear and special occasions,
853,High-end and of good quality,
854,Expensive smelling,
855,Elicits positive memories and emotions,
856,Loved by both men and women,
857,More affordable than Aventus,
858,Suitable for everyday wear,
859,Nice mainstream fragrance,
860,Similar to Creed Aventus,
861,Well blended interpretation of Aventus,
862,Introduces those who can't afford Aventus to the world of Creed,
863,Good performance and longevity,
864,Subtle and refined version of Aventus,
865,Long-lasting projection and longevity,
866,Classy and modernized tuberose scent,
867,Beautiful neotuberose scent,
868,Receives compliments and makes wearer happy,
869,Quality and top-notch ingredients,
870,Perfectly captures a unique and earthy scent,
871,Syrupy pears at the beginning or even strawberries,
872,Great addition of cherries and ambroxan,
873,"Elegant, feminine and sensual fragrance",
874,Beautiful bottle design,
875,Classic floral oriental scent,
876,Suitable for special occasions and evenings,
877,Long-lasting fragrance with great sillage,
878,Unique and powerful spicy notes,
879,Representative of the woman in all her various faces,
880,Unisex scent that can be enjoyed by both genders,
881,"Warm, spicy and sexy scent",
882,Confidence-boosting,
883,Long-lasting scent,
884,Brings up positive emotions and mood,
885,Gifted as a thoughtful present,
886,Suitable for both men and women,
887,Similar to vintage Magie Noire scent,
888,Not everyone will like it,
889,Good all-rounder scent,
890,Balanced and casual fragrance,
891,Exceptional blind buy,
